ID,Severity,Surface,Evidence bucket,Reproduction,Expected,Actual,Root cause,User/business risk,Fix,Regression test,Retest,Status,Owner/blocker,Validation verdict,Validation evidence,Re-ranked severity,Root cause group
AUD-025,P0 BLOCKER,Deterministic clinical and boundary routing under model misconfiguration,local browser/runtime evidence,Start the exact deployed build with a disposable loopback database and OPENAI_API_KEY explicitly empty; POST synthetic shaky dizzy chest-pain below-range malformed and oversized cases to /api/check; repeat shaky in the browser,Clinical urgent out-of-scope and invalid-input routing executes before any model client is needed and remains available when the provider is unavailable or misconfigured,Every case returned HTTP 200 kind=retry with the message to try a simpler food description. The browser showed that generic card for a synthetic shaky-and-clammy report. With a placeholder key and loopback-only base URL the same input immediately returned the clinical route proving provider construction was the only changed dependency,app/api/check/route.ts evaluates modelFactory(undefined) while constructing the options argument to checkFoodImpl; createOpenAIRevoraModelClient throws for a missing key before checkFood can validate or run classifyClinicalRisk and routeA1C,During a model credential incident an acute-symptom user is told to simplify a food description instead of seeing the urgent deterministic route; malformed input and A1C boundary behavior also become false provider failures,Defer modelFactory invocation until the service has passed all deterministic clinical A1C and precheck branches or pass a lazy model provider; keep those branches independent of model configuration,Optimized-build HTTP and browser cases with missing invalid and unreachable provider asserting clinical/out-of-scope/invalid results and zero provider construction/calls,Reproduced twice through the exact built route; artifacts/qa/2026-07-23-critical-runtime/clinical-provider-config-missing-retry-card.png; no fix authorized,OPEN,Engineering and operations,CONFIRMED,"app/api/check/route.ts:326 evaluates `model: modelFactory(undefined)` while building checkFood options; getModelClient -> createOpenAIRevoraModelClient -> createTransport throws 'OPENAI_API_KEY is required for live Revora model calls' (lib/revora/openai-client.ts:345) before any deterministic route runs. Replays V018/V019 on the harness-built exact-SHA server: with the key missing, clinical/boundary/malformed cases collapse to the generic fallback retry instead of clinical/out-of-scope/invalid routes; with a placeholder key + loopback base URL the deterministic routes return. Additional finding NEW-003: with the abuse limiter unconfigured on a public-shape build, middleware returns 503 for ALL check traffic including clinical inputs - a second dependency preempting deterministic safety.",P0 BLOCKER,G3 provider coupling and failure-path semantics
AUD-026,P3 MINOR,Guest check-page console and network hygiene,local browser/runtime evidence,Open /check?stay=1 in a fresh anonymous Mobile Chrome context then submit a deterministic clinical case while recording every >=400 response console warning page error and failed request,The supported no-login core journey has no relevant console or network errors,GET /api/history returns 401 on every fresh guest check page and Chromium logs Failed to load resource as an error; the visible flow still completes. The 237-case Playwright suite does not fail on console/network output,CheckPage always mounts DailyLoop; DailyLoop calls loadHistory and loadHistory attempts the authenticated remote history endpoint before it falls back to on-device history without first knowing the user is signed out,Routine unauthorized traffic adds noise to browser diagnostics and monitoring and can conceal a real 401 regression; it also violates the stated clean-console completion gate,Avoid the remote history request for a known guest or make the guest history endpoint return an intentional non-error empty contract while preserving authorization on private data,Fresh guest browser assertion covering response statuses and console errors on check/home/meals,Reproduced in both critical browser captures; no page exception and no visible failure; no fix authorized,OPEN,Frontend and observability,CONFIRMED,"components/daily-loop.tsx:49 always calls loadHistory(7); lib/client/remote-history.ts:32-39 fetches /api/history first and treats 401 as the expected signed-out signal - by design, but Chromium still logs the 401 as a console error on every fresh guest check page.",P3 MINOR,G3 provider coupling and failure-path semantics
AUD-027,P3 MINOR,Check API malformed-request HTTP contract,local browser/runtime evidence,POST missing A1C string A1C and a 161-character meal directly to the exact optimized /api/check route with a configured loopback-only model client,A strict invalid request is rejected with an explicit 4xx status and a non-sensitive corrective body before entitlement provider or persistence work,All three return HTTP 200 with kind=retry and corrective copy. Telemetry labels them schema_error but HTTP clients and availability metrics see success,checkFood converts schema failure to a retry-shaped user response and the route serializes every non-throw response with NextResponse.json without an invalid-request status distinction,API consumers retries and monitoring cannot distinguish invalid caller input from successful checks; rate and operational metrics can be distorted,Return a documented 400 contract for strict schema failures or explicitly version and test the intentional 200 semantics end to end,Direct malformed Unicode oversized missing and wrong-type request matrix asserting status response and zero provider/data side effects,Reproduced with the exact built route; browser-side form validation separately prevents ordinary empty-form POSTs; no fix authorized,OPEN,API engineering,CONFIRMED,LIVE PRODUCTION reproduction (V017): POST /api/check with string A1C and with missing food each returned HTTP 200 kind=retry corrective copy. Strict schema failures use success status semantics.,P3 MINOR - upgrade to P2 if external API consumers are added,G3 provider coupling and failure-path semantics
AUD-028,P1 MAJOR,Paid-retention evidence and instrumentation,production payment and privacy-safe cohort evidence,Read-only query every active Revora recurring Stripe price for all subscription states; inspect relevant checkout sessions without customer identifiers; aggregate canonical and secondary production data stores without selecting health text email or user identifiers,A subscription product presented for purchase has a reconciled paying-user denominator activation event recurring-value event and mature cohort windows before any long-term-retention claim or rollout inference,All four active Revora recurring prices have zero subscriptions. Three Revora checkout sessions exist but all are expired and unpaid. The canonical data store has two user rows but zero profiles checks feedback memories journeys weekly artifacts push subscriptions subscription rows billing events or Pantry orders; the secondary store has zero rows across these product/cohort tables. The two users and four support cases were not classified as real or synthetic because content and identifiers were intentionally not accessed,Revora has implemented protocols and event-capable features but has not acquired or instrumentally reconciled a paid activated cohort; both retention protocols remain unexecuted and contain blank pre-registration fields,There is no empirical basis for D30 D90 D180 or D365 paid retention or for enabling retention features; product investment and launch claims would be made against an untested commercial hypothesis,Keep retention claims unproven and retention flags off; correct the concierge and paid-cohort pre-registration before collecting results; reconcile app events to settled non-refunded charges and include churned users,Privacy-safe fixture proving payment-to-activation denominator reconciliation and frozen cohort-window calculations before the first real paid observation,Read-only live evidence supports a maximum measured paid-retention duration of zero days; no customer content was read and no charge subscription flag or production row was created,OPEN,Founder product analytics and billing operations,CONFIRMED,"Refreshed 2026-07-24 (V006-V008,V011-V012): all four active Revora recurring live prices have zero subscriptions in every state; 13 live Checkout Sessions all expired/unpaid (Revora-era: one $0 subscription session + two $49 Pantry sessions); canonical Railway Postgres has users=2 support_cases=4 and zero rows in profiles/checks/feedback/memories/journeys/reflections/push/subscriptions/billing inbox/pantry/deletion; Postgres-FOMu has billing_event_inbox=7 and zero elsewhere. Paid denominator remains 0; max measured retention period 0 days.","P1 MAJOR - evidence gap, not a code defect; cannot be closed by engineering alone",G11 paid-cohort evidence and instrumentation
AUD-029,P1 MAJOR,Release-corpus dangerous false reassurance,local deterministic eval evidence,Select every tests/fixtures/revora-eval-cases.json row with harmfulIfSafe=true and knownGap=true and run it through checkFood using its recorded model output,The release corpus has zero dangerous false reassurance; every harmfulIfSafe case is a hard failure rather than an accepted exception,Two fixture rows are deliberately excluded from both hard gates and reproduce as SAFE: bbq sauce slathered on ribs and leftover curry. The eval stdout labels them known gaps while npm run eval:revora exits 0,The precheck/floor ontology does not recognize these sugar/under-description patterns and the test code explicitly skips knownGap rows in the harmful-SAFE and adversarial-under-description assertions,A real model SAFE response for an acknowledged uncertain or sugar-heavy description reaches the user as Clear despite the release requirement and can create false confidence; a green eval conceals the gate breach unless its verbose table is read,Do not exempt harmful-SAFE rows from the hard gate; route the two inputs to one clarification or a conservative non-SAFE result and keep the corpus immutable,The two existing fixtures must fail the release command whenever the returned risk is SAFE; add a guard that harmfulIfSafe and knownGap cannot coexist in a release corpus,Exact production-source checkFood returned SAFE for both rows with their recorded model outputs; the broader eval still passed; no fix authorized,OPEN,Meal engine and release engineering,CONFIRMED,Replay V014 through production-source checkFood with recorded mock outputs: stratum-sauce-bbq-ribs -> kind=result risk=SAFE; stratum-underdesc-leftover-curry -> kind=result risk=SAFE. Both rows carry harmfulIfSafe=true + knownGap=true and eval:revora exits 0 (V010) because the hard gates skip knownGap rows.,P1 MAJOR,G2 deterministic engine coverage gaps
AUD-030,P1 MAJOR,Pediatric intended-use routing,local deterministic function evidence,Run checkFood for synthetic inputs that explicitly identify an 8- or 10-year-old with an in-range A1C and provide a scripted result-capable model,Revora is adults-only and pediatric context routes out of scope before any model call or meal verdict,meal for my 10-year-old child: grilled chicken and rice returned a MODERATE adult meal result; my 8 year old has oatmeal returned a composition clarification rather than a pediatric scope response,The clinical router has no pediatric/age class and the model output schema has no out-of-scope result kind; the adult intended-use statement exists only in copy/prompt context rather than deterministic enforcement,A child-specific meal request can receive adult prediabetes-range guidance and be persisted as an ordinary check despite being outside the declared intended population,Add deterministic pediatric context routing before A1C/food/model work and ensure no verdict or persistence; keep neutral adult-only scope copy,Age-child/minor/kid/son/daughter and obfuscated age corpus with zero model calls and no result schema,Exact production-source checkFood reproduced a meal result/ordinary clarification with a synthetic scripted model; no live provider call and no fix authorized,OPEN,Product safety and meal engine,CONFIRMED,Replay V015: 'meal for my 10-year-old child: grilled chicken and rice' with a contract-valid scripted MODERATE model returned an ordinary adult MODERATE result (verbatim card); 'my 8 year old has oatmeal' returned the ordinary composition clarification 'Is this plain or sweetened?'. No pediatric class exists in lib/revora/clinical-risk.ts and no out-of-scope kind exists for age.,P1 MAJOR,G2 deterministic engine coverage gaps
AUD-031,P1 MAJOR,Forbidden personal-safety and outcome-prediction enforcement,local deterministic contract evidence,Call the production assertNoForbiddenClaims gate with paraphrases: This will bring your levels down; This will lower your levels; This will keep your blood sugar stable; This is safe for you; This will not spike you,The runtime output gate rejects every personal-safety or individual-outcome prediction regardless of whether it names A1C glucose GI GL or mg/dL,All five paraphrases passed the output gate unchanged. They would therefore reach postprocessing when present in an otherwise schema-valid model result; the prompt asks the model not to say them but no authorized live corpus proves compliance,The safety contract uses fixed regexes anchored to a small set of explicit medical nouns and exact formulations; it does not encode semantic/personal-safety claim classes,A stochastic model can ship the precise forbidden confidence/prediction Revora says it structurally prevents; users may treat a general meal label as assurance about their individual response,Expand fail-closed output enforcement to personal-safety and indirect outcome language and add semantic or tightly governed phrase-class coverage without weakening existing controls,Adversarial paraphrase corpus across reason/adjustment/swap/question/examples plus live-provider capture gate; every phrase here must produce a retry/no verdict,Exact current gate returned blocked=false for all five synthetic phrases; no model call and no fix authorized,OPEN,Product safety and model enforcement,CONFIRMED,Replay V014: assertNoForbiddenClaims returned blocked=false for all five paraphrases including 'This is safe for you' and 'This will bring your levels down'. The gate's regexes are anchored to explicit medical nouns/exact formulations only.,P1 MAJOR,G1 safety-scope contradiction and claims-gate narrowness
NEW-001,P1 MAJOR,Model provider configuration vs the decided OpenRouter production route,current committed local source and Vercel env,Read lib/revora/openai-client.ts resolveModelTransportConfig and .env.example:35-38; run tests pinning the rejection (c004b08),"The decided production provider (OpenRouter) is configurable, validated, and covered by evals",Production explicitly rejects any OPENAI_BASE_URL ('evaluation-only and must be unset in production') and rejects provider-prefixed model ids; a unit test pins this; production Vercel env has OPENAI_API_KEY only. The standing OpenRouter decision cannot be deployed without reversing a deliberately pinned policy whose comment cites a real prior incident (OpenRouter Responses endpoint beta returning only fallback cards).,The provider policy was hardened to direct-OpenAI-only before the OpenRouter decision was made,A naive base-URL flip would either throw at runtime (config error on every check) or silently route health-adjacent prompts through an unvalidated endpoint; evals/quality claims are baselined on direct OpenAI only,"Deliberate policy change: allowlist the exact OpenRouter host in production, map model ids, keep HTTPS/credential guards, re-baseline all eval corpora on the OpenRouter route before any quality claim, and define fallback/timeout behavior","Transport-config matrix covering OpenRouter host allowed in production, non-allowlisted hosts rejected, missing/invalid/unreachable OpenRouter credential never blocking deterministic routes",Not retested - change not yet authorized in this report-only pass,OPEN,"Engineering and owner (credential, budget)",NEW,lib/revora/openai-client.ts:97-105 production base-URL rejection; .env.example:35-38; commit c004b08 'pin the VERCEL_ENV production base-URL rejection'; Vercel production env has no OPENAI_BASE_URL/REVORA_MODEL,P1 MAJOR - hard prerequisite for the decided architecture,G3 provider coupling and failure-path semantics
NEW-002,P2 MODERATE,Split production data stores (Railway Postgres vs Postgres-FOMu),production database aggregates,Count-only queries on both Railway services (V011/V012),"One canonical production database receives all app writes, or the split is documented with a migration/retirement plan","Canonical Postgres holds users=2/support=4 with billing_event_inbox=0 while Postgres-FOMu holds billing_event_inbox=7 with zero users - webhook inbox events exist only in the non-canonical store, most plausibly residue from a store migration; which store the deployed DATABASE_URL targets is encrypted and unverified",A database migration left the old store live with historical rows and no documented retirement,"Billing-event history is split across stores, weakening AUD-028 denominator reconciliation and inviting operator confusion during incident forensics","Owner confirms the deployed DATABASE_URL binding, documents the FOMu store as retired read-only archive (or migrates the 7 inbox rows), and removes standing credentials to whichever store is non-canonical",Ops runbook check: single documented canonical store; health check asserts inbox writes land in the canonical store,Not retested - owner action required,OPEN,Operations owner,NEW,"V011: canonical Postgres billing_event_inbox=0; V012: Postgres-FOMu billing_event_inbox=7, users=0",P2 MODERATE,G11 paid-cohort evidence and instrumentation
NEW-003,P2 MODERATE,Deterministic clinical routing behind the fail-closed abuse door,local runtime evidence on exact production SHA,"Build with public-deploy shape, leave Upstash unconfigured, POST a clinical case to /api/check (V018 first matrix)","Clinical/urgent deterministic routes remain reachable during abuse-limiter outages or a disclosed, clinically-neutral unavailability state is shown",proxy.ts:126-136 returns 503 'Revora is helping a lot of people right now' for ALL check traffic including 'feeling shaky and clammy' when the limiter is unconfigured on a public deploy; the clinical route never runs. Same class as AUD-025: a safety route depends on an unrelated dependency,The middleware fail-closed door has no carve-out or copy distinction for clinical-symptom traffic (and cannot classify at the edge),During an Upstash outage an acute-symptom user receives a load-shedding message instead of the urgent-care route,"Keep fail-closed for cost control but change outage copy to include the urgent-care boundary line, or evaluate a minimal edge-safe clinical screen; decide and document explicitly",Middleware test: limiter store_error/unconfigured on check route returns copy containing the urgent human-care line,Not retested - fix not authorized in this pass,OPEN,Engineering and product safety,NEW,V018: nine cases including three clinical all returned proxy 503 RATE_LIMIT_COPY before routing; proxy.ts:105-137,P2 MODERATE,G3 provider coupling and failure-path semantics
